ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,holidays,holidays_lower,holidays_upper,school_holiday,school_holiday_lower,school_holiday_upper,state_holiday,state_holiday_lower,state_holiday_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2013-01-02,5243.315568,4441.626494296687,6601.131541876583,5243.315568,5243.315568,246.9383014728773,246.9383014728773,246.9383014728773,136.60770000000002,136.60770000000002,136.60770000000002,421.6159056,421.6159056,421.6159056,-285.0082056,-285.0082056,-285.0082056,-248.8739149537719,-248.8739149537719,-248.8739149537719,359.2045164266492,359.2045164266492,359.2045164266492,0.0,0.0,0.0,5490.253869472877
2013-01-03,5242.058449761702,4253.613218501808,6354.624663362673,5242.058449761702,5242.058449761702,48.07360296561911,48.07360296561911,48.07360296561911,136.60770000000002,136.60770000000002,136.60770000000002,421.6159056,421.6159056,421.6159056,-285.0082056,-285.0082056,-285.0082056,-336.9409507202149,-336.9409507202149,-336.9409507202149,248.406853685834,248.406853685834,248.406853685834,0.0,0.0,0.0,5290.132052727321
2013-01-04,5240.801331523404,4424.968780639789,6513.016168467747,5240.801331523404,5240.801331523404,188.50230915415318,188.50230915415318,188.50230915415318,136.60770000000002,136.60770000000002,136.60770000000002,421.6159056,421.6159056,421.6159056,-285.0082056,-285.0082056,-285.0082056,-94.82323205253907,-94.82323205253907,-94.82323205253907,146.71784120669219,146.71784120669219,146.71784120669219,0.0,0.0,0.0,5429.303640677557
2013-01-05,5239.544213285106,4640.265898440098,6731.103945899067,5239.544213285106,5239.544213285106,487.0504818160257,487.0504818160257,487.0504818160257,136.60770000000002,136.60770000000002,136.60770000000002,421.6159056,421.6159056,421.6159056,-285.0082056,-285.0082056,-285.0082056,295.3308166181021,295.3308166181021,295.3308166181021,55.11196519792349,55.11196519792349,55.11196519792349,0.0,0.0,0.0,5726.594695101132
2013-01-07,5237.029976808511,4541.733076733431,6807.853661181022,5237.029976808511,5237.029976808511,412.15782412723564,412.15782412723564,412.15782412723564,136.60770000000002,136.60770000000002,136.60770000000002,421.6159056,421.6159056,421.6159056,-285.0082056,-285.0082056,-285.0082056,370.6128021678808,370.6128021678808,370.6128021678808,-95.06267804064524,-95.06267804064524,-95.06267804064524,0.0,0.0,0.0,5649.187800935746
2013-01-08,5235.7728585702125,3953.778024651484,6109.151518182259,5235.7728585702125,5235.7728585702125,-144.01677867412718,-144.01677867412718,-144.01677867412718,136.60770000000002,136.60770000000002,136.60770000000002,421.6159056,421.6159056,421.6159056,-285.0082056,-285.0082056,-285.0082056,-127.8099303759422,-127.8099303759422,-127.8099303759422,-152.814548298185,-152.814548298185,-152.814548298185,0.0,0.0,0.0,5091.756079896086
2013-01-09,5234.5157403319145,3861.193477562671,5928.167745317011,5234.5157403319145,5234.5157403319145,-311.11792607605054,-311.11792607605054,-311.11792607605054,136.60770000000002,136.60770000000002,136.60770000000002,421.6159056,421.6159056,421.6159056,-285.0082056,-285.0082056,-285.0082056,-248.87391495324385,-248.87391495324385,-248.87391495324385,-198.85171112280668,-198.85171112280668,-198.85171112280668,0.0,0.0,0.0,4923.3978142558635
2013-01-10,5233.258622093617,3779.8948131108546,5888.863867810701,5233.258622093617,5233.258622093617,-433.67186037104545,-433.67186037104545,-433.67186037104545,136.60770000000002,136.60770000000002,136.60770000000002,421.6159056,421.6159056,421.6159056,-285.0082056,-285.0082056,-285.0082056,-336.9409507198481,-336.9409507198481,-336.9409507198481,-233.3386096511974,-233.3386096511974,-233.3386096511974,0.0,0.0,0.0,4799.586761722572
2013-01-11,5232.001503855318,3915.714864793374,6073.992389966074,5232.001503855318,5232.001503855318,-214.86862504386494,-214.86862504386494,-214.86862504386494,136.60770000000002,136.60770000000002,136.60770000000002,421.6159056,421.6159056,421.6159056,-285.0082056,-285.0082056,-285.0082056,-94.8232320515821,-94.8232320515821,-94.8232320515821,-256.6530929922829,-256.6530929922829,-256.6530929922829,0.0,0.0,0.0,5017.132878811453
2013-01-12,5230.744385617021,3931.1636378593607,5966.315161630331,5230.744385617021,5230.744385617021,-259.0479013271519,-259.0479013271519,-259.0479013271519,-285.0082056,-285.0082056,-285.0082056,0.0,0.0,0.0,-285.0082056,-285.0082056,-285.0082056,295.3308166180649,295.3308166180649,295.3308166180649,-269.3705123452168,-269.3705123452168,-269.3705123452168,0.0,0.0,0.0,4971.69648428987
2013-01-14,5228.230149140425,3908.2599681516426,6103.476010269673,5228.230149140425,5228.230149140425,-180.57602448111413,-180.57602448111413,-180.57602448111413,-285.0082056,-285.0082056,-285.0082056,0.0,0.0,0.0,-285.0082056,-285.0082056,-285.0082056,370.61280216801975,370.61280216801975,370.61280216801975,-266.1806210491339,-266.1806210491339,-266.1806210491339,0.0,0.0,0.0,5047.654124659311
2013-01-15,5226.973030902128,3455.022317382365,5702.600321021181,5226.973030902128,5226.973030902128,-665.0348532868455,-665.0348532868455,-665.0348532868455,-285.0082056,-285.0082056,-285.0082056,0.0,0.0,0.0,-285.0082056,-285.0082056,-285.0082056,-127.80993037605825,-127.80993037605825,-127.80993037605825,-252.21671731078735,-252.21671731078735,-252.21671731078735,0.0,0.0,0.0,4561.938177615282
2013-01-16,5225.715912663829,3361.1948489972347,5610.156043374302,5225.715912663829,5225.715912663829,-765.370813284068,-765.370813284068,-765.370813284068,-285.0082056,-285.0082056,-285.0082056,0.0,0.0,0.0,-285.0082056,-285.0082056,-285.0082056,-248.87391495271592,-248.87391495271592,-248.87391495271592,-231.48869273135216,-231.48869273135216,-231.48869273135216,0.0,0.0,0.0,4460.3450993797605
